X Targetposition, Y Targetposition,Z Targetposition,X Targetrotation,Y Targetrotation,Z Targetrotation,X Rotation,Y Rotation,Z Rotation,X position,Y position,Z position,FramesFromStart,TimeFromStart,VIMS Scale,VIMS Count,ISwait
-0.4952893,-3.38352,6.6589,-0.01225662,-0.03498818,-0.05470654,0,0,0,0,-3.2244,0,1,0.33,0,0,False
0.006344846,-3.574217,6.87002,7.064702E-06,0.9996567,0.02619605,0,0,0,0,-3.2244,0.2,3,0.66,0,0,False
3.633164,-3.385263,12.1912,0.003489718,0.9588394,0.01152657,-0.110487,0.06968604,-0.0413591,-0.2460653,-2.042971,6.978385,11,0.99,0,0,False
4.706141,-3.193496,14.3471,-0.000800622,0.9245515,-0.002172314,-0.1571966,0.04253281,-0.02218944,-0.242426,-2.050355,10.00856,20,1.32,0,0,False
4.525453,-2.928243,17.92447,-0.007582144,0.931136,-0.02084581,-0.1447857,0.03199026,-0.01859272,-0.2362832,-2.047515,13.42329,31,1.65,0,0,False
3.899178,-2.648788,21.6139,-0.01246907,0.9505299,-0.04129715,-0.1263313,0.02702611,-0.0009272521,-0.230462,-2.044618,16.6234,43,1.98,0,0,False
2.782467,-2.305544,25.52839,-0.01415088,0.9742243,-0.06748509,-0.07068761,0.06053809,-0.01702764,-0.2403051,-2.036034,19.91349,56,2.31,0,0,False
1.231509,-1.899624,29.27755,-0.009014086,0.9905734,-0.09926055,-0.0543522,0.2641189,0.001494418,-0.2720745,-2.033414,23.23203,69,2.64,0,0,False
-0.4945662,-1.469619,32.55083,0.004943567,0.9904487,-0.1324388,-0.06517684,0.03425626,-0.02086834,-0.2465344,-2.034931,26.51667,80,2.97,0,0,False
-2.124935,-1.04997,35.4611,0.02758475,0.971821,-0.1627192,-0.04864886,-0.0364521,-0.003387947,-0.2263749,-2.03233,29.8978,92,3.3,0,0,False
-3.339198,-0.689405,38.17427,0.05376912,0.9414578,-0.1857981,-0.01927512,0.142387,0.01408008,-0.2451892,-2.028164,33.35841,106,3.63,0,0,False
-3.986404,-0.4162977,40.76308,0.07502024,0.9143677,-0.2017643,0.03110257,0.2850824,0.03729482,-0.2686586,-2.021527,36.57585,119,3.96,0,0,False
-4.196582,-0.1735764,43.74165,0.08962385,0.8982465,-0.2171958,0.05475618,0.3367558,0.04588728,-0.2774867,-2.018045,39.90953,132,4.29,0,0,False
-0.2469509,0.0326829,46.52382,0.04578273,0.9515997,-0.2477565,0.06997347,0.1596179,0.03775506,1.720543,-2.017625,41.52617,145,4.62,0,0,False
